Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
FREM:LRL2,0.9,0.9,0.9,-
FREM:SVCL2,0.9,0.9,0.9,-
CalibratedClassifierCV,0.8777095453566042,0.8807789078016208,0.8774571468453819,2.7840147415796914
PassiveAggressiveClassifier,0.8635477267830208,0.8668730640869479,0.8633182134460532,1.559313456217448
LogisticRegression,0.857719241542771,0.8599260381405497,0.8581450504284858,0.6463625431060791
RidgeClassifierCV,0.8518315018315018,0.8541778076048904,0.8520817326465892,2.147314747174581
LinearSVC,0.8453027364792071,0.8487620734140795,0.8450004942244201,0.4907476504643758
Perceptron,0.834346046110752,0.8369215384426121,0.8334295448331078,0.6720898946126302
Twin-SVT,0.82,-,-,-
LinearDiscriminantAnalysis,0.8152822667528549,0.8179098349471255,0.8156105487511774,0.23429834842681885
3D CNN,0.8,-,-,-
SGDClassifier,0.7924315880198233,0.7947524639906032,0.7923092834558295,0.269786794980367
NuSVC,0.7593244990303814,0.7660020214592801,0.7592939667045758,0.5385782321294149
RidgeClassifier,0.7429433311786253,0.749776374242955,0.7434077635890519,1.233758250872294
SVC,0.7357735401853049,0.7408835836781048,0.7344642424483134,0.42159728209177655
LGBMClassifier,0.7150237017884078,0.7208321699993719,0.713099393668536,5.626761595408122
XGBClassifier,0.7041262658909718,0.7114166249027226,0.7005887316593666,6.325400511423747
2D CNN,0.7,-,-,-
RandomForestClassifier,0.6931103210514976,0.6992601492531642,0.6919180956724049,6.60047463575999
ExtraTreesClassifier,0.6699741435035552,0.674638422842257,0.6697393809673028,3.470024267832438
KNeighborsClassifier,0.6072613660848954,0.6117052437346437,0.604891711559376,0.4795174201329549
BaggingClassifier,0.5018638224520577,0.5068509320733149,0.4984871419006917,0.9673968156178793
NearestCentroid,0.3993266537384185,0.4044048798031113,0.40386992746270806,0.1730723778406779
DecisionTreeClassifier,0.376890756302521,0.38002545522433545,0.3814195838914778,0.07792286078135173
BernoulliNB,0.3677978883861237,0.3698841360398401,0.35982776104609376,0.08609211444854736
GaussianNB,0.351535229476406,0.35315713577900015,0.34790367228202573,0.0575793186823527
ExtraTreeClassifier,0.3085164835164835,0.31367803793802823,0.29946593363733204,0.042102416356404625
AdaBoostClassifier,0.24334733893557423,0.25945993200830697,0.21729979367921018,1.4154319365819295
QuadraticDiscriminantAnalysis,0.1577354018530489,0.16210182670915693,0.15224626119551524,0.17480242252349854
LabelPropagation,0.14490411549235077,0.125,0.03695613783212731,0.08978911240895589
LabelSpreading,0.1436220642102995,0.13182337247585738,0.08759147621238732,0.07624510924021403
DummyClassifier,0.12439129497953028,0.1168575285491286,0.0713483717399716,0.05211210250854492
