,precision,recall,f1-score,support
bottle,0.1,0.07407407407407407,0.0851063829787234,27.0
cat,0.14814814814814814,0.14814814814814814,0.14814814814814814,27.0
chair,0.1111111111111111,0.037037037037037035,0.05555555555555555,27.0
face,0.0,0.0,0.0,27.0
house,0.36619718309859156,0.9629629629629629,0.5306122448979591,27.0
scissors,0.24193548387096775,0.5555555555555556,0.3370786516853933,27.0
scrambledpix,0.45,0.3333333333333333,0.3829787234042553,27.0
shoe,0.25,0.037037037037037035,0.06451612903225806,27.0
accuracy,0.26851851851851855,0.26851851851851855,0.26851851851851855,0.26851851851851855
macro avg,0.2084239907786023,0.2685185185185185,0.20049947946278662,216.0
weighted avg,0.20842399077860232,0.26851851851851855,0.20049947946278662,216.0
