Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.8730769230769231,0.8763480392156863,,0.872651488194836,0.8431088924407959
PassiveAggressiveClassifier,0.8769230769230769,0.8720821661998133,,0.8767592936697604,0.42699646949768066
LogisticRegression,0.8692307692307693,0.8673961251167134,,0.8691611128895306,0.3825373649597168
CalibratedClassifierCV,0.8576923076923076,0.854108309990663,,0.8577453120767841,11.661484718322754
Perceptron,0.8538461538461538,0.8491538281979458,,0.8523077934442203,0.13674116134643555
LinearSVC,0.8461538461538461,0.8400326797385621,,0.8462977658784498,3.459498643875122
SGDClassifier,0.8153846153846154,0.8127275910364146,,0.8142582625784801,0.19415545463562012
RidgeClassifierCV,0.7961538461538461,0.7902135854341736,,0.7946646134483513,0.2191925048828125
ExtraTreesClassifier,0.7346153846153847,0.733374183006536,,0.7317737937083406,1.222517728805542
XGBClassifier,0.7192307692307692,0.7150910364145658,,0.7176098872434366,6.242547512054443
RandomForestClassifier,0.7153846153846154,0.713141923436041,,0.7073114459899218,1.4724271297454834
KNeighborsClassifier,0.7076923076923077,0.7056139122315593,,0.7064976780935801,0.5441668033599854
SVC,0.7076923076923077,0.7042950513538749,,0.705702561450728,0.6214888095855713
LGBMClassifier,0.7115384615384616,0.703985760971055,,0.7101816203118714,33.392237424850464
RidgeClassifier,0.6384615384615384,0.6372782446311858,,0.6421186653417464,0.07979393005371094
LinearDiscriminantAnalysis,0.5038461538461538,0.49917717086834734,,0.513075501646683,0.6706597805023193
BaggingClassifier,0.5,0.4939250700280112,,0.492968033914011,1.5384387969970703
DecisionTreeClassifier,0.3730769230769231,0.37118347338935576,,0.38186510843626453,0.43923187255859375
ExtraTreeClassifier,0.36538461538461536,0.359109477124183,,0.3680795434343798,0.12423348426818848
NearestCentroid,0.36538461538461536,0.3573704481792717,,0.33688494559704907,0.0883176326751709
GaussianNB,0.35384615384615387,0.3462593370681606,,0.33320896715784437,0.16416430473327637
BernoulliNB,0.3346153846153846,0.326499766573296,,0.30419647258475196,0.05884885787963867
AdaBoostClassifier,0.33076923076923076,0.31341036414565826,,0.31102500729406135,1.9264249801635742
QuadraticDiscriminantAnalysis,0.16538461538461538,0.16409897292250233,,0.15782245813617332,0.19208812713623047
LabelSpreading,0.13076923076923078,0.125,,0.030245944531658818,0.18386387825012207
LabelPropagation,0.13076923076923078,0.125,,0.030245944531658818,0.16191911697387695
DummyClassifier,0.09615384615384616,0.09397759103641457,,0.09491871127002743,0.05133557319641113
